Date,CD
3-Jan-13,CD209
3-Jan-13,CD209
4-Jan-13,CD209
7-Jan-13,CD202
7-Jan-13,CD202
8-Jan-13,CD202
8-Jan-13,CD209
8-Jan-13,CD203
9-Jan-13,CD204
9-Jan-13,CD209
9-Jan-13,CD203
9-Jan-13,CD202
9-Jan-13,CD209
9-Jan-13,CD202
9-Jan-13,CD202
9-Jan-13,CD101
9-Jan-13,CD202
9-Jan-13,CD211
9-Jan-13,CD207
9-Jan-13,CD209
10-Jan-13,CD209
14-Jan-13,CD205
14-Jan-13,CDNA
14-Jan-13,CD103
14-Jan-13,CD209
15-Jan-13,CD209
15-Jan-13,CD209
15-Jan-13,CD209
15-Jan-13,CD209
15-Jan-13,CD209
16-Jan-13,CD209
16-Jan-13,CD209
17-Jan-13,CD209
17-Jan-13,CD202
17-Jan-13,CD202
18-Jan-13,CD209
22-Jan-13,CD209
22-Jan-13,CD202
22-Jan-13,CD209
23-Jan-13,CD203
23-Jan-13,CD202
23-Jan-13,CD206
23-Jan-13,CD209
23-Jan-13,CD202
24-Jan-13,CD202
24-Jan-13,CD209
24-Jan-13,CD209
24-Jan-13,CD202
24-Jan-13,CD209
24-Jan-13,CD202
24-Jan-13,CD209
24-Jan-13,CD204
25-Jan-13,CD204
25-Jan-13,CD112
28-Jan-13,CD202
28-Jan-13,CD209
28-Jan-13,CD209
28-Jan-13,CD202
29-Jan-13,CD202
29-Jan-13,CD211
29-Jan-13,CD209
30-Jan-13,CD204
30-Jan-13,CD209
30-Jan-13,CD209
30-Jan-13,CD209
30-Jan-13,CD202
30-Jan-13,CD107
30-Jan-13,CD202
31-Jan-13,CD209
31-Jan-13,CD202
31-Jan-13,CD202
31-Jan-13,CD202
4-Feb-13,CD202
4-Feb-13,CD209
4-Feb-13,CD202
5-Feb-13,CD209
5-Feb-13,CD227
6-Feb-13,CD204
6-Feb-13,CD202
7-Feb-13,CD210
7-Feb-13,CD209
7-Feb-13,CD209
7-Feb-13,CD209
8-Feb-13,CD209
11-Feb-13,CD202
12-Feb-13,CD209
12-Feb-13,CD202
13-Feb-13,CD209
13-Feb-13,CD202
13-Feb-13,CD209
14-Feb-13,CD209
14-Feb-13,CD101
14-Feb-13,CD202
14-Feb-13,CD202
19-Feb-13,CD501
19-Feb-13,CD209
19-Feb-13,CD202
19-Feb-13,CD202
20-Feb-13,CD201
20-Feb-13,CD209
